Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Month,Hour
231377,Disney billing problem,2015-12-04,2015-12-04 00:00:00,1900-01-01 18:18:10,Internet,Atlanta,Georgia,30308,Closed,No,December,18
252681,Disney Needs Competition,2015-04-23,2015-04-23 00:00:00,1900-01-01 14:26:10,Customer Care Call,Atlanta,Georgia,30315,Closed,No,April,14
268101,Disney servicesbilling issues,2015-01-05,2015-01-05 00:00:00,1900-01-01 10:00:59,Customer Care Call,Atlanta,Georgia,30316,Solved,No,January,10
269066,Incorrect Bill,2015-01-05,2015-01-05 00:00:00,1900-01-01 15:43:37,Customer Care Call,Atlanta,Georgia,30317,Solved,No,January,15
273420,Legality of data caps,2015-05-05,2015-05-05 00:00:00,1900-01-01 11:58:26,Internet,Atlanta,Georgia,30315,Closed,No,May,11
278509,Data caps,2015-07-05,2015-07-05 00:00:00,1900-01-01 14:55:45,Internet,Atlanta,Georgia,30363,Open,No,July,14
279656,Disney Added Service After I Declined It,2015-08-05,2015-08-05 00:00:00,1900-01-01 08:47:45,Internet,Atlanta,Georgia,30345,Solved,No,August,8
288771,Disney Misled With Overage Policy,2015-05-13,2015-05-13 00:00:00,1900-01-01 19:55:53,Internet,Atlanta,Georgia,30317,Open,No,May,19
293512,Cable service and telephone connect not complete,2015-05-16,2015-05-16 00:00:00,1900-01-01 16:29:33,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes,May,16
297104,Disney data cap,2015-05-19,2015-05-19 00:00:00,1900-01-01 13:51:11,Customer Care Call,Atlanta,Georgia,30305,Solved,No,May,13
303412,Disney Wont Cancel My Service,2015-05-22,2015-05-22 00:00:00,1900-01-01 13:09:51,Customer Care Call,Atlanta,Georgia,30318,Solved,No,May,13
304450,Data Caps,2015-05-23,2015-05-23 00:00:00,1900-01-01 00:05:55,Internet,Atlanta,Georgia,30318,Open,No,May,0
305137,Disney disconnecting service before due date,2015-05-23,2015-05-23 00:00:00,1900-01-01 23:34:43,Internet,Atlanta,Georgia,30324,Open,No,May,23
305982,Disney data cap,2015-05-25,2015-05-25 00:00:00,1900-01-01 15:34:56,Internet,Atlanta,Georgia,30309,Open,No,May,15
307799,Disney,2015-05-26,2015-05-26 00:00:00,1900-01-01 16:29:57,Customer Care Call,Atlanta,Georgia,30318,Solved,No,May,16
308171,Unbelievable Treatment,2015-05-26,2015-05-26 00:00:00,1900-01-01 18:40:25,Customer Care Call,Atlanta,Georgia,30310,Solved,No,May,18
312746,Denial of Disney Business Phone and internet Service to my dental practice,2015-05-28,2015-05-28 00:00:00,1900-01-01 22:35:40,Customer Care Call,Atlanta,Georgia,30324,Solved,No,May,22
311725,Disneys Terrible Service  How are they still in business,2015-05-28,2015-05-28 00:00:00,1900-01-01 14:46:47,Internet,Atlanta,Georgia,30309,Solved,No,May,14
313949,they are forcing me for my bank account information by suspending my services for no reason I also feel like they are committing corporate theft,2015-05-29,2015-05-29 00:00:00,1900-01-01 15:56:01,Internet,Atlanta,Georgia,30314,Solved,No,May,15
315173,Disney discontinuation of service issue,2015-05-30,2015-05-30 00:00:00,1900-01-01 15:27:41,Customer Care Call,Atlanta,Georgia,30312,Open,No,May,15
317945,Disney customer service,2015-01-06,2015-01-06 00:00:00,1900-01-01 21:32:46,Customer Care Call,Atlanta,Georgia,30329,Closed,No,January,21
318301,Disney,2015-02-06,2015-02-06 00:00:00,1900-01-01 10:06:22,Customer Care Call,Atlanta,Georgia,30315,Closed,No,February,10
322882,Disney wont quit charging me for modem rental,2015-04-06,2015-04-06 00:00:00,1900-01-01 10:58:18,Internet,Atlanta,Georgia,30317,Solved,No,April,10
323473,Disney download caps,2015-04-06,2015-04-06 00:00:00,1900-01-01 14:18:03,Internet,Atlanta,Georgia,30345,Solved,No,April,14
325596,Horrible Disney Customer Service,2015-05-06,2015-05-06 00:00:00,1900-01-01 14:46:43,Customer Care Call,Atlanta,Georgia,30339,Solved,No,May,14
327291,Data Cap,2015-07-06,2015-07-06 00:00:00,1900-01-01 10:01:52,Internet,Atlanta,Georgia,30309,Solved,No,July,10
334035,Bad Customer Service,2015-10-06,2015-10-06 00:00:00,1900-01-01 22:24:00,Internet,Atlanta,Georgia,30331,Solved,No,October,22
340637,disconnection of service,2015-06-15,2015-06-15 00:00:00,1900-01-01 10:56:55,Customer Care Call,Atlanta,Georgia,30306,Solved,No,June,10
341535,Disney Data Usage Charges,2015-06-15,2015-06-15 00:00:00,1900-01-01 15:39:09,Customer Care Call,Atlanta,Georgia,30309,Open,No,June,15
350016,Disney refuses service to my address,2015-06-18,2015-06-18 00:00:00,1900-01-01 16:45:38,Customer Care Call,Atlanta,Georgia,30318,Solved,No,June,16
349567,Disney will not let me discuss my bill or service with a representative,2015-06-18,2015-06-18 00:00:00,1900-01-01 15:36:45,Customer Care Call,Atlanta,Georgia,30324,Solved,No,June,15
349716,Disney billing frauds,2015-06-18,2015-06-18 00:00:00,1900-01-01 15:53:05,Internet,Atlanta,Georgia,30328,Solved,No,June,15
354254,Disney TVInternet hookup,2015-06-20,2015-06-20 00:00:00,1900-01-01 19:16:33,Internet,Atlanta,Georgia,30341,Solved,No,June,19
355121,no service for 5 days,2015-06-22,2015-06-22 00:00:00,1900-01-01 09:05:33,Internet,Atlanta,Georgia,30341,Solved,No,June,9
357856,Disney  Billing,2015-06-23,2015-06-23 00:00:00,1900-01-01 11:35:54,Customer Care Call,Atlanta,Georgia,30363,Open,No,June,11
359719,Disney Internet,2015-06-23,2015-06-23 00:00:00,1900-01-01 18:27:47,Customer Care Call,Atlanta,Georgia,30307,Solved,No,June,18
359260,Disney speed integrity,2015-06-23,2015-06-23 00:00:00,1900-01-01 16:30:18,Customer Care Call,Atlanta,Georgia,30308,Pending,No,June,16
358601,Data cap,2015-06-23,2015-06-23 00:00:00,1900-01-01 14:21:23,Internet,Atlanta,Georgia,30306,Pending,No,June,14
362076,Disney Atlanta Data Caps,2015-06-24,2015-06-24 00:00:00,1900-01-01 14:13:31,Internet,Atlanta,Georgia,30306,Pending,No,June,14
362097,Disney Atlanta Data Caps,2015-06-24,2015-06-24 00:00:00,1900-01-01 14:18:32,Internet,Atlanta,Georgia,30324,Pending,No,June,14
363616,Disney Poor Customer Service,2015-06-24,2015-06-24 00:00:00,1900-01-01 22:28:58,Internet,Atlanta,Georgia,30345,Open,No,June,22
361720,Overage on 300GB data plan with Disney,2015-06-24,2015-06-24 00:00:00,1900-01-01 12:39:59,Customer Care Call,Atlanta,Georgia,30306,Solved,No,June,12
362223,Disney bill,2015-06-24,2015-06-24 00:00:00,1900-01-01 14:43:13,Customer Care Call,Atlanta,Georgia,30316,Solved,No,June,14
363102,Disney Data Cap,2015-06-24,2015-06-24 00:00:00,1900-01-01 18:24:57,Customer Care Call,Atlanta,Georgia,30328,Pending,No,June,18
363235,Unfair Billing Practices,2015-06-24,2015-06-24 00:00:00,1900-01-01 19:12:16,Internet,Atlanta,Georgia,30307,Solved,No,June,19
363424,Disney data caps,2015-06-24,2015-06-24 00:00:00,1900-01-01 20:42:06,Customer Care Call,Atlanta,Georgia,30327,Solved,No,June,20
365321,Disney Refusing to Honor Internet Rate,2015-06-25,2015-06-25 00:00:00,1900-01-01 14:08:35,Internet,Atlanta,Georgia,30324,Solved,No,June,14
363860,speed,2015-06-25,2015-06-25 00:00:00,1900-01-01 07:33:58,Internet,Atlanta,Georgia,30316,Open,No,June,7
368838,Not Acceptable Internet Additional Charge,2015-06-26,2015-06-26 00:00:00,1900-01-01 16:42:51,Customer Care Call,Atlanta,Georgia,30339,Solved,No,June,16
367718,Disney internet and cable service,2015-06-26,2015-06-26 00:00:00,1900-01-01 11:02:54,Customer Care Call,Atlanta,Georgia,30316,Open,Yes,June,11
372331,Disney Data Caps,2015-06-29,2015-06-29 00:00:00,1900-01-01 13:49:15,Internet,Atlanta,Georgia,30324,Pending,Yes,June,13
373205,Disney Xfinity Slamming,2015-06-29,2015-06-29 00:00:00,1900-01-01 17:41:37,Internet,Atlanta,Georgia,30315,Closed,No,June,17
375377,Disney Support Unable to Provide Accurate Information,2015-06-30,2015-06-30 00:00:00,1900-01-01 16:17:34,Internet,Atlanta,Georgia,30328,Open,No,June,16
373977,Disney Data Usage Limits,2015-06-30,2015-06-30 00:00:00,1900-01-01 08:14:37,Internet,Atlanta,Georgia,30342,Pending,No,June,8
344456,Repeated Erroneous Modem Rental Charge,2015-06-16,2015-06-16 00:00:00,1900-01-01 20:17:10,Customer Care Call,Atlanta,Georgia,30308,Solved,No,June,20
374159,Xfinity pricing,2015-06-30,2015-06-30 00:00:00,1900-01-01 10:33:18,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No,June,10
359224,Disney monopoly,2015-06-23,2015-06-23 00:00:00,1900-01-01 16:22:19,Internet,Attalla,Alabama,35954,Solved,No,June,16
274956,Internet connection both upload and download speeds,2015-05-05,2015-05-05 00:00:00,1900-01-01 19:34:03,Customer Care Call,Attica,Indiana,47918,Open,No,May,19
338651,Internet Availability,2015-06-13,2015-06-13 00:00:00,1900-01-01 01:07:20,Internet,Attica,Michigan,48412,Open,No,June,1
221984,Complaint against Disney,2015-07-04,2015-07-04 00:00:00,1900-01-01 14:43:14,Internet,Auburn,Pennsylvania,17922,Closed,No,July,14
346885,Disney,2015-06-17,2015-06-17 00:00:00,1900-01-01 18:17:59,Internet,Auburn,Washington,98092,Open,No,June,18
359070,Disney Xfinity Monopolistic Billing Practices,2015-06-23,2015-06-23 00:00:00,1900-01-01 15:49:46,Internet,Auburn,Washington,98092,Closed,No,June,15
372769,Internet Throttling,2015-06-29,2015-06-29 00:00:00,1900-01-01 15:47:44,Internet,Auburn,Washington,98092,Solved,No,June,15
311239,Data Usage Overage,2015-05-28,2015-05-28 00:00:00,1900-01-01 12:16:01,Internet,Augusta,Georgia,30907,Solved,Yes,May,12
339371,double billing after change of service,2015-06-13,2015-06-13 00:00:00,1900-01-01 17:24:59,Internet,Augusta,Georgia,30904,Solved,Yes,June,17
360222,Bandwidth Caps becoming excessive,2015-06-23,2015-06-23 00:00:00,1900-01-01 21:36:55,Internet,Augusta,Georgia,30907,Solved,No,June,21
370518,Disney data limits,2015-06-27,2015-06-27 00:00:00,1900-01-01 20:32:23,Customer Care Call,Augusta,Georgia,30904,Solved,Yes,June,20
335988,Unable to cancel xfinity home security,2015-11-06,2015-11-06 00:00:00,1900-01-01 21:11:33,Customer Care Call,Aurora,Colorado,80012,Solved,No,November,21
361604,Disney trying to setup stuff we didnt order,2015-06-24,2015-06-24 00:00:00,1900-01-01 12:16:47,Customer Care Call,Aurora,Colorado,80011,Solved,No,June,12
369583,Terrible waiting times,2015-06-27,2015-06-27 00:00:00,1900-01-01 01:21:11,Internet,Aurora,Colorado,80014,Solved,Yes,June,1
342399,Incorrect prices for new customers,2015-06-15,2015-06-15 00:00:00,1900-01-01 21:50:41,Customer Care Call,Aurora,Illinois,60503,Open,No,June,21
359858,Disney is throttling my internet,2015-06-23,2015-06-23 00:00:00,1900-01-01 19:16:40,Customer Care Call,Aurora,Illinois,60503,Pending,No,June,19
363993,Internet Pricing,2015-06-25,2015-06-25 00:00:00,1900-01-01 09:30:43,Customer Care Call,Aurora,Illinois,60502,Open,No,June,9
223256,MISC CHARGES,2015-08-04,2015-08-04 00:00:00,1900-01-01 07:51:06,Customer Care Call,Austell,Georgia,30106,Closed,No,August,7
375093,Comast data cap,2015-06-30,2015-06-30 00:00:00,1900-01-01 15:07:14,Customer Care Call,Austell,Georgia,30168,Pending,No,June,15
347937,Disney throttles internet,2015-06-18,2015-06-18 00:00:00,1900-01-01 09:15:45,Customer Care Call,Austin,Texas,78731,Open,No,June,9
360286,throttling,2015-06-23,2015-06-23 00:00:00,1900-01-01 22:07:17,Internet,Avon,Colorado,81620,Pending,Yes,June,22
279378,Forced Bundling of Internet Service with CATV,2015-07-05,2015-07-05 00:00:00,1900-01-01 21:16:13,Customer Care Call,Ayer,Massachusetts,1432,Open,No,July,21
301854,Disney Internet,2015-05-21,2015-05-21 00:00:00,1900-01-01 16:31:00,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes,May,16
306805,Failure to deliver service,2015-05-26,2015-05-26 00:00:00,1900-01-01 11:29:54,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No,May,11
373653,Disney HBO Go PS4 app,2015-06-29,2015-06-29 00:00:00,1900-01-01 20:40:56,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No,June,20
304583,Disneys refusal to recognize written notice of termination of service,2015-05-23,2015-05-23 00:00:00,1900-01-01 10:37:56,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No,May,10
324795,Rates,2015-05-06,2015-05-06 00:00:00,1900-01-01 09:59:39,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No,May,9
348338,Termination Fee,2015-06-18,2015-06-18 00:00:00,1900-01-01 11:14:49,Internet,Ballston Lake,New York,12019,Solved,No,June,11
241422,Disney internetcable,2015-04-17,2015-04-17 00:00:00,1900-01-01 13:21:20,Internet,Baltimore,Maryland,21224,Closed,No,April,13
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL,2015-04-23,2015-04-23 00:00:00,1900-01-01 12:56:29,Customer Care Call,Baltimore,Maryland,21207,Open,No,April,12
259003,REPEATED Disney billing issues,2015-04-27,2015-04-27 00:00:00,1900-01-01 13:35:21,Customer Care Call,Baltimore,Maryland,21239,Closed,No,April,13
312881,unauthorized Disney username setup,2015-05-29,2015-05-29 00:00:00,1900-01-01 06:31:23,Customer Care Call,Baltimore,Maryland,21206,Open,No,May,6
319505,Services turned off in retaliation for complaints,2015-02-06,2015-02-06 00:00:00,1900-01-01 17:14:14,Customer Care Call,Baltimore,Maryland,21218,Closed,No,February,17
342923,Disney does not disclose the Internet speed Im paying for anywhere on my bill or online,2015-06-16,2015-06-16 00:00:00,1900-01-01 11:17:13,Customer Care Call,Baltimore,Maryland,21218,Open,No,June,11
343096,Internet speeds disclosure on bill,2015-06-16,2015-06-16 00:00:00,1900-01-01 12:11:39,Internet,Baltimore,Maryland,21218,Solved,No,June,12
343625,Internet speed not disclosed,2015-06-16,2015-06-16 00:00:00,1900-01-01 15:09:53,Customer Care Call,Baltimore,Maryland,21237,Solved,No,June,15
348974,Intermittent Service,2015-06-18,2015-06-18 00:00:00,1900-01-01 14:04:40,Customer Care Call,Baltimore,Maryland,21209,Solved,No,June,14
356080,Disney billing practices,2015-06-22,2015-06-22 00:00:00,1900-01-01 14:31:19,Internet,Baltimore,Maryland,21218,Solved,No,June,14
360196,monopoly,2015-06-23,2015-06-23 00:00:00,1900-01-01 21:28:56,Internet,Baltimore,Maryland,21225,Solved,No,June,21
358485,Consistently Slow and Throttled Internet Speeds,2015-06-23,2015-06-23 00:00:00,1900-01-01 13:56:14,Internet,Baltimore,Maryland,21217,Pending,No,June,13
360378,Paying for high speed internet with Disney Consistently getting slow service,2015-06-23,2015-06-23 00:00:00,1900-01-01 22:37:16,Internet,Baltimore,Maryland,21202,Open,No,June,22
357904,Disney Monopoly on Packages is costing me more money for same service,2015-06-23,2015-06-23 00:00:00,1900-01-01 11:49:09,Customer Care Call,Baltimore,Maryland,21212,Solved,No,June,11
364840,Disney HIGH SPEED INTERNET MONOPOLY,2015-06-25,2015-06-25 00:00:00,1900-01-01 12:58:48,Internet,Baltimore,Maryland,21224,Solved,No,June,12
368793,Disney cable In Maryland,2015-06-26,2015-06-26 00:00:00,1900-01-01 16:25:27,Customer Care Call,Baltimore,Maryland,21222,Solved,No,June,16
370296,Billing Dispute  Poor Customer Service,2015-06-27,2015-06-27 00:00:00,1900-01-01 17:21:39,Internet,Baltimore,Maryland,21239,Closed,No,June,17
373716,Disney change contract,2015-06-29,2015-06-29 00:00:00,1900-01-01 21:27:12,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes,June,21
360325,Disney throttle,2015-06-23,2015-06-23 00:00:00,1900-01-01 22:16:47,Customer Care Call,Bargersville,Indiana,46106,Pending,No,June,22
249688,Xfinity WiFi access,2015-04-22,2015-04-22 00:00:00,1900-01-01 10:53:59,Internet,Barnegat,New Jersey,8005,Closed,No,April,10
